date,title,url,media
2023-04-18 11:58:00,Incendie dans les Pyrénées-Orientales : comment expliquer des feux en avril en France,https://www.tf1info.fr/justice-faits-divers/video-incendie-pyrenees-orientales-comment-expliquer-des-feux-en-avril-en-france-2254398.html,TF1
2023-04-18 08:00:00,Incendies précoces : la France est-elle suffisamment armée ?,https://www.tf1info.fr/societe/video-tf1-incendies-precoces-comme-a-cerbere-la-france-est-elle-suffisamment-armee-2254402.html,TF1
2023-04-18,Incendies : la Gironde reste en état d'alerte,https://www.francetvinfo.fr/faits-divers/incendies-en-gironde/incendies-la-gironde-reste-en-etat-d-alerte_5778521.html,France 3
2023-04-18,Incendies : comment la Gironde se prépare pour un été potentiellement à risque,https://www.francetvinfo.fr/faits-divers/incendie/incendies-comment-la-gironde-se-prepare-pour-un-ete-potentiellement-a-risque_5778476.html,France 2
2023-04-18,Sécheresse : l'eau d'un canal déviée pour alimenter et sauver la Garonne,https://www.francetvinfo.fr/meteo/secheresse/secheresse-l-eau-d-un-canal-devie-pour-alimenter-et-sauver-la-garonne_5778479.html,France 2
2023-04-17 16:50:00,"VIDÉO - ""Je n'ai jamais connu ça"" : la désolation des habitants de Cerbère après l'incendie",https://www.tf1info.fr/societe/video-reportage-tf1-pyrenees-orientales-je-n-ai-jamais-connu-ca-la-desolation-des-habitants-de-cerbere-apres-l-incendie-2254347.html,TF1
2023-04-17 16:46:00,VIDÉO - Pyrénées-Orientales : un état de sécheresse digne d'un mois de juillet... au mois d'avril,https://www.tf1info.fr/environnement-ecologie/video-pyrenees-orientales-incendie-banuyls-cerbere-un-etat-de-secheresse-digne-d-un-mois-de-juillet-au-mois-d-avril-2254356.html,TF1
2023-04-17 14:45:00,"VIDÉO - Pyrénées-Orientales : le feu, maîtrisé mais pas fixé, mobilise toujours 300 pompiers",https://www.tf1info.fr/environnement-ecologie/video-cerbere-banyuls-sur-mer-incendie-dans-les-pyrenees-orientales-le-feu-maitrise-mais-pas-fixe-mobilise-encore-300-pompiers-2254345.html,TF1
2023-04-17 08:18:00,"VIDÉO - Pyrénées-Orientales : après avoir parcouru 930 hectares, l'incendie a été maîtrisé",https://www.tf1info.fr/environnement-ecologie/video-pyrenees-orientales-apres-avoir-parcouru-930-hectares-l-incendie-cerbere-banuyls-a-ete-maitrise-2254279.html,TF1
2023-04-17,Incendie dans les Pyrénées-Orientales : le feu est maîtrisé mais sous haute surveillance,https://www.francetvinfo.fr/faits-divers/incendie/incendie-dans-les-pyrenees-orientales-le-feu-est-maitrise-mais-sous-haute-surveillance_5776682.html,France 2
2023-04-16,"Dérèglement climatique : les nappes phréatiques au plus bas, la sécheresse inquiète",https://www.francetvinfo.fr/monde/environnement/crise-climatique/dereglement-climatique-les-nappes-phreatiques-au-plus-bas-la-secheresse-inquiete_5774711.html,France 2
2023-04-15 11:40:00,"VIDÉO - Sécheresse : à Bouleternère, l'eau qui coule du robinet n'est plus potable",https://www.tf1info.fr/environnement-ecologie/video-secheresse-a-bouleternere-l-eau-qui-coule-du-robinet-n-est-plus-potable-2254150.html,TF1
2023-04-14 16:26:00,VIDÉO - Sécheresse : pourquoi la pluie ne suffit pas à remplir nos sous-sols ?,https://www.tf1info.fr/environnement-ecologie/video-secheresse-pourquoi-la-pluie-ne-suffit-pas-a-remplir-nos-sous-sols-et-les-nappes-phreatiques-2254082.html,TF1
2023-04-14,Sécheresse : des chiens pour détecter des fuites d’eau,https://www.francetvinfo.fr/meteo/secheresse/secheresse-des-chiens-pour-detecter-des-fuites-d-eau_5771087.html,France 2
2023-04-14,Sécheresse : des villages des Pyrénées-Orientales privés d’eau potable,https://www.francetvinfo.fr/meteo/secheresse/secheresse-des-villages-des-pyrenees-orientales-prives-d-eau-potable_5771513.html,France 3
2023-04-14,Environnement : le bassin méditerranéen souffre de la sécheresse,https://www.francetvinfo.fr/monde/environnement/environnement-le-bassin-mediterraneen-souffre-de-la-secheresse_5771516.html,France 3
2023-04-14,"Sécheresse : dans les Pyrénées-Orientales, quatre communes n’ont plus d’eau potable",https://www.francetvinfo.fr/meteo/secheresse/secheresse-dans-les-pyrenees-orientales-quatre-communes-n-ont-plus-d-eau-potable_5771147.html,France 3
2023-04-14,"Un jour en France : les corps de trois skieurs italiens retrouvés, protestation contre le tourisme fluvial,... L'actualité des dernières 24h",https://www.francetvinfo.fr/meteo/secheresse/un-jour-en-france-les-corps-de-trois-skieurs-italiens-retrouves-protestation-contre-le-tourisme-fluvial-l-actualite-des-dernieres-24h_5771459.html,France 2
2023-04-13,Sécheresse : quatre villages privés d’eau potable dans les Pyrénées-Orientales,https://www.francetvinfo.fr/meteo/secheresse/secheresse-quatre-villages-prives-d-eau-potable-dans-les-pyrenees-orientales_5769266.html,France 2
2023-04-12 12:29:00,"Dans l'Hérault, la sécheresse fait craindre un été très compliqué sur le front des incendies",https://www.tf1info.fr/societe/video-dans-l-herault-la-secheresse-fait-craindre-un-ete-tres-complique-sur-le-front-des-incendies-2253787.html,TF1
2023-04-12,Auvergne : regain de popularité pour le vin volcanique,https://www.francetvinfo.fr/france/auvergne-rhone-alpes/auvergne-regain-de-popularite-pour-le-vin-volcanique_5766926.html,France 2
2023-04-12,Sécheresse : de l’air transformé en eau pour pallier les pénuries,https://www.francetvinfo.fr/meteo/secheresse/secheresse-de-l-air-transforme-en-eau-pour-pallier-les-penuries_5767409.html,France 3
2023-04-11 11:21:00,"REPORTAGE - Face à la sécheresse, des récupérateurs d'eau à petit prix grâce aux communes",https://www.tf1info.fr/societe/reportage-face-a-la-secheresse-des-recuperateurs-d-eau-a-petit-prix-grace-a-vos-communes-2253675.html,TF1
2023-04-11,Sécheresse : la bataille des forages des nappes phréatiques,https://www.francetvinfo.fr/meteo/secheresse/secheresse-la-bataille-des-forages-des-nappes-phreatiques_5765321.html,France 2
2023-04-11,"Sécheresse : à Bordeaux, le boom des réservoirs d’eau accessibles à tous",https://www.francetvinfo.fr/meteo/secheresse/secheresse-a-bordeaux-le-boom-des-reservoirs-d-eau-accessibles-a-tous_5764886.html,France 2
